cod_va;cod_perfil;fec_alta;cod_idioma_alpha2;fec_baja;nom_va;desc_va;desc_va_ext;fec_creacion;fec_actualizacion
SOACGPA;1;2024-01-12 00:00:00;es;;Sobre Acolchado Grande;Pon a disposición de tus clientes embalajes para el envío de vuelta, sin coste para ellos;Correos proporcionará el embalaje del envío con cargo a tu contrato;2024-01-12 00:00:00;2024-01-12 00:00:00
REICPA;1;2023-10-31 00:00:00;es;;Reembolso con ingreso en cuenta de paquetería empresarial;Pago contra reembolso, con un máximo de 999,99 ?, para los envíos de paquetería nacional bajo contrato;La devolución del importe se realizará por Correos en la cuenta bancaria indicada por el remitente;2023-10-31 00:00:00;2025-01-16 00:00:00
SOSEPPA;1;2024-01-12 00:00:00;es;;Sobre Semirrígido Pequeño;Pon a disposición de tus clientes embalajes para el envío de vuelta, sin coste para ellos;Correos proporcionará el embalaje del envío con cargo a tu contrato;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEMPA;1;2024-01-12 00:00:00;es;;Sobre Semirrígido Mediano;Pon a disposición de tus clientes embalajes para el envío de vuelta, sin coste para ellos;Correos proporcionará el embalaje del envío con cargo a tu contrato;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEGPA;1;2024-01-12 00:00:00;es;;Sobre Semirrígido Grande;Pon a disposición de tus clientes embalajes para el envío de vuelta, sin coste para ellos;Correos proporcionará el embalaje del envío con cargo a tu contrato;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJPEPA;1;2024-01-12 00:00:00;es;;Caja Pequeña;Pon a disposición de tus clientes embalajes para el envío de vuelta, sin coste para ellos;Correos proporcionará el embalaje del envío con cargo a tu contrato;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJMEPA;1;2024-01-12 00:00:00;es;;Caja Mediana;Pon a disposición de tus clientes embalajes para el envío de vuelta, sin coste para ellos;Correos proporcionará el embalaje del envío con cargo a tu contrato;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJGRPA;1;2024-01-12 00:00:00;es;;Caja Grande;Pon a disposición de tus clientes embalajes para el envío de vuelta, sin coste para ellos;Correos proporcionará el embalaje del envío con cargo a tu contrato;2024-01-12 00:00:00;2024-01-12 00:00:00
VADELO;1;2024-01-19 00:00:00;es;;Valor Declarado para Correos Logística;Asegura tu mercancía declarando su valor hasta un límite de 6.000 ?;El máximo de la indemnización dependerá de la cantidad asegurada;2024-01-19 00:00:00;2024-01-19 00:00:00
DESPAXP;1;2024-01-19 00:00:01;es;;Despaletizado;Servicio de entrega en sótanos o primeras plantas;La entrega de la mercancía se realiza de forma estándar a pie de calle o de muelle;2024-01-19 00:00:00;2024-01-19 00:00:00
CENOXP;1;2024-01-19 00:00:00;es;;Conforme Entrega Original;Devolución física de los albaranes originales;Irán firmados o sellados por el destinatario en la entrega;2024-01-19 00:00:00;2024-01-19 00:00:00
DEM30XP;1;2024-01-19 00:00:00;es;;Demora;Por cada media hora que nuestros repartidores deban esperar;Con el fin de dar el mejor servicio a todos nuestros clientes, se penalizará paralizar la ruta de reparto ocasioanando retrasos en todas las entregas posteriores;2024-01-19 00:00:00;2024-01-19 00:00:00
RAEEXL;1;2024-01-19 00:00:00;es;;Retirada RAEE;Realización de las gestiones administrativas necesarias para el reciclaje de aparatos eléctricos o electrónicos;Recibirás los certificados de reciclaje emitidos por los centros autorizados;2024-01-19 00:00:00;2024-01-19 00:00:00
ENRECLO;1;2024-01-19 00:00:00;es;;Entrega con Recogida para Correos Logística;Recogemos cualquier tipo de documentación o mercancía que necesites en el mismo momento en el que realizamos la entrega del envío;Además, el cliente podrá indicar en el pre-registro instrucciones para el personal de Correos como la comprobación del contenido del envío devuelto, chequeo de documentación o recogida de la firma;2024-01-19 00:00:00;2024-01-19 00:00:00
VADEPA;2;2024-02-20 00:00:00;es;;Valor Declarado de paqueteria;Asegura tu envío declarando su valor hasta un límite de 6.000 ?;El máximo de la indemnización dependerá de la cantidad asegurada;2024-02-20 00:00:00;2024-02-20 00:00:00
REICPA;2;2024-02-20 00:00:00;es;;Reembolso con ingreso en cuenta de paquetería nacional;Pago contra reembolso, con un máximo de 2.499,99 ?, para los envíos de paquetería nacional sin contrato;La devolución del importe se realizará por Correos en la cuenta bancaria indicada por el remitente;2024-02-20 00:00:00;2024-02-20 00:00:00
REDOPA;2;2024-02-20 00:00:00;es;;Reembolso con pago en domicilio de paquetería nacional;Pago contra reembolso, con un máximo de 499,99 ?, para los envíos de paquetería nacional sin contrato;La devolución del importe se realizará en el domicilio o apartado postal del remitente;2024-02-20 00:00:00;2024-02-20 00:00:00
GEENFR;1;2024-02-20 00:00:00;es;;Gestión en la Entrega;Tras la entrega del envío, se debe retorna la caja isoterma y sus componentes;En función del tipo de trazabilidad, el repartidor deberá realizar una tarea u otra.;2024-02-20 00:00:00;2024-02-20 00:00:00
GEENFR;2;2024-02-20 00:00:00;es;;Gestión en la Entrega;Tras la entrega del envío, se debe retorna la caja isoterma y sus componentes;En función del tipo de trazabilidad, el repartidor deberá realizar una tarea u otra.;2024-02-20 00:00:00;2024-02-20 00:00:00
ARNAPO;1;2024-04-19 00:00:00;es;;Aviso de Recibo;Recibe un documento físico que acredite la entrega del envío;Quedará constancia de cuándo y quién recibió el envío;2024-04-19 00:00:00;2024-04-19 00:00:00
RISIPO;1;2024-04-19 00:00:00;es;;Retorno de Información simple;Permite el seguimiento telemático por parte del cliente de los procesos de distribución y entrega de sus envíos;La información que se facilita se refiere al último estado conocido y registrado de los envíos: admitido, entregado y/o devuelto;2024-04-19 00:00:00;2024-04-19 00:00:00
REDOPO;1;2024-04-19 00:00:00;es;;Reembolso con pago en domicilio bajo SPU;Pago contra reembolso, con un máximo de 499,99 ?, para los envíos postales pertenecientes al SPU;La devolución del importe se realizará en el domicilio o apartado postal del remitente;2024-04-19 00:00:00;2024-04-19 00:00:00
ENRECPA;1;2024-04-19 00:00:00;es;;Entrega con Recogida;Recogemos cualquier tipo de documentación o mercancía que necesites en el mismo momento en el que realizamos la entrega del envío;Además, el cliente podrá indicar en el pre-registro instrucciones para el personal de Correos como la comprobación del contenido del envío devuelto, chequeo de documentación o recogida de la firma;2024-04-19 00:00:00;2024-04-19 00:00:00
COPRISF;2;2024-06-06 00:00:00;es;;Comunicación privada al destinatario;Puedes realizar una comunicación de hasta 140 caracteres;Sin ningun tipo de coste adicional;2024-06-06 00:00:00;2024-06-06 00:00:00
SMSRSF;2;2024-06-06 00:00:00;es;;SMS al remitente;Se realizará una comunicación al teléfono móvil informado por el remitente, indicando que el envío ha sido pagado ;Únicamente disponible para el Envío de Dinero inmediato;2024-06-06 00:00:00;2024-06-06 00:00:00
SMSDSF;2;2024-06-06 00:00:00;es;;SMS al destinatario;Se realizará una comunicación al teléfono móvil del destinatario indicando la disponibilidad del envío a su nombre;Se comunicará el localizador para que el destinatario pueda recoger el envío;2024-06-06 00:00:00;2024-06-06 00:00:00
SMSRDSF;2;2024-06-06 00:00:00;es;;SMS al remitente y al destinatario;Se realizará una comunicación al teléfono móvil del remitente indicando que el envío ha sido pagado y al teléfono móvil del destinatario indicando la disponibilidad del envío a su nombre;Contrata las comunicaciones al completo y así el envío de cada SMS será más económico;2024-06-06 00:00:00;2024-06-06 00:00:00
GENADPO;1;2024-08-30 00:00:00;es;;Gestión de Entrega de Notificaciones Administrativas;Aplica al envío dos intentos de entrega bajo firma, el segundo si resulta fallido el primero;Ambos intentos se realizan en turnos diferentes, es decir, si el primero se realiza por la mañana el segundo se realizará por la tarde y viceversa;2024-08-30 00:00:00;2024-08-30 00:00:00
