cod_ambito_detalle;cod_ambito;cod_provincia;cod_pais;fec_creacion;fec_actualizacion
1036;10;36;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
1037;10;37;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
1039;10;39;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
1040;10;40;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
1041;10;41;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
1042;10;42;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
1043;10;43;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
1044;10;44;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
1045;10;45;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
1046;10;46;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
1047;10;47;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
1048;10;48;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
1049;10;49;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
1050;10;50;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
1107;11;07;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
10101;101;01;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
10202;102;02;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
10303;103;03;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
10404;104;04;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
10505;105;05;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
10606;106;06;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
10707;107;07;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
10808;108;08;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
10909;109;09;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
11010;110;10;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
11111;111;11;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
11212;112;12;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
11313;113;13;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
11414;114;14;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
11515;115;15;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
11616;116;16;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
11717;117;17;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
11818;118;18;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
11919;119;19;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
12020;120;20;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
12121;121;21;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
12222;122;22;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
12323;123;23;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
12424;124;24;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
12525;125;25;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
12626;126;26;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
12727;127;27;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
12828;128;28;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
12929;129;29;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
13030;130;30;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
13131;131;31;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
13232;132;32;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
13333;133;33;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
