cod_complemento;desc_complemento;fec_creacion;fec_actualizacion
0;Sin complemento;2023-10-31 00:00:00;2023-10-31 00:00:00
1140061;Kilo adicional Zona 1;2023-10-31 00:00:00;2023-10-31 00:00:00
1140062;Kilo adicional Zona 2;2023-10-31 00:00:00;2023-10-31 00:00:00
1140063;Kilo adicional Zona 3;2023-10-31 00:00:00;2023-10-31 00:00:00
1140081;Kilo adicional Zona 3;2023-10-31 00:00:00;2023-10-31 00:00:00
1140064;Kilo adicional Zona 4;2023-10-31 00:00:00;2023-10-31 00:00:00
1140065;Kilo adicional Zona 5;2023-10-31 00:00:00;2023-10-31 00:00:00
1140066;Kilo adicional Zona 6;2023-10-31 00:00:00;2023-10-31 00:00:00
1140067;Kilo adicional Zona 7;2023-10-31 00:00:00;2023-10-31 00:00:00
1140068;Kilo adicional Zona 8;2023-10-31 00:00:00;2023-10-31 00:00:00
1140069;Kilo adicional Zona 9;2023-10-31 00:00:00;2023-10-31 00:00:00
1130061;Kilo adicional Zona 1;2023-10-31 00:00:00;2023-10-31 00:00:00
1130062;Kilo adicional Zona 2;2023-10-31 00:00:00;2023-10-31 00:00:00
1130063;Kilo adicional Zona 3;2023-10-31 00:00:00;2023-10-31 00:00:00
1130081;Kilo adicional Zona 3;2023-10-31 00:00:00;2023-10-31 00:00:00
1130064;Kilo adicional Zona 4;2023-10-31 00:00:00;2023-10-31 00:00:00
1130065;Kilo adicional Zona 5;2023-10-31 00:00:00;2023-10-31 00:00:00
1130066;Kilo adicional Zona 6;2023-10-31 00:00:00;2023-10-31 00:00:00
2140061;Kilo adicional Zona 1;2023-10-31 00:00:00;2023-10-31 00:00:00
2140062;Kilo adicional Zona 2;2023-10-31 00:00:00;2023-10-31 00:00:00
2140063;Kilo adicional Zona 3;2023-10-31 00:00:00;2023-10-31 00:00:00
2140081;Kilo adicional Zona 3;2023-10-31 00:00:00;2023-10-31 00:00:00
2140064;Kilo adicional Zona 4;2023-10-31 00:00:00;2023-10-31 00:00:00
2140065;Kilo adicional Zona 5;2023-10-31 00:00:00;2023-10-31 00:00:00
2140066;Kilo adicional Zona 6;2023-10-31 00:00:00;2023-10-31 00:00:00
2140067;Kilo adicional Zona 7;2023-10-31 00:00:00;2023-10-31 00:00:00
2140068;Kilo adicional Zona 8;2023-10-31 00:00:00;2023-10-31 00:00:00
2140069;Kilo adicional Zona 9;2023-10-31 00:00:00;2023-10-31 00:00:00
2130061;Kilo adicional Zona 1;2023-10-31 00:00:00;2023-10-31 00:00:00
2130062;Kilo adicional Zona 2;2023-10-31 00:00:00;2023-10-31 00:00:00
2130063;Kilo adicional Zona 3;2023-10-31 00:00:00;2023-10-31 00:00:00
2130081;Kilo adicional Zona 3;2023-10-31 00:00:00;2023-10-31 00:00:00
2130064;Kilo adicional Zona 4;2023-10-31 00:00:00;2023-10-31 00:00:00
2130065;Kilo adicional Zona 5;2023-10-31 00:00:00;2023-10-31 00:00:00
2130066;Kilo adicional Zona 6;2023-10-31 00:00:00;2023-10-31 00:00:00
51110071;Kilo adicional Zona EU 1;2023-10-31 00:00:00;2023-10-31 00:00:00
51110072;Kilo adicional Zona EU 2;2023-10-31 00:00:00;2023-10-31 00:00:00
51110074;Kilo adicional Zona AM;2023-10-31 00:00:00;2023-10-31 00:00:00
51110076;Kilo adicional Zona AS-OC;2023-10-31 00:00:00;2023-10-31 00:00:00
51110078;Kilo adicional Zona AF;2023-10-31 00:00:00;2023-10-31 00:00:00
52110071;Kilo adicional Zona EU 1;2023-10-31 00:00:00;2023-10-31 00:00:00
52110072;Kilo adicional Zona EU 2;2023-10-31 00:00:00;2023-10-31 00:00:00
52110073;Kilo adicional Zona EU 3;2023-10-31 00:00:00;2023-10-31 00:00:00
52110074;Kilo adicional Zona AM;2023-10-31 00:00:00;2023-10-31 00:00:00
52110076;Kilo adicional Zona AS-OC 1;2023-10-31 00:00:00;2023-10-31 00:00:00
52110077;Kilo adicional Zona AS-OC 2;2023-10-31 00:00:00;2023-10-31 00:00:00
52110078;Kilo adicional Zona AF;2023-10-31 00:00:00;2023-10-31 00:00:00
53110071;Kilo adicional Zona EU 1;2023-10-31 00:00:00;2023-10-31 00:00:00
53110072;Kilo adicional Zona EU 2;2023-10-31 00:00:00;2023-10-31 00:00:00
53110073;Kilo adicional Zona EU 3;2023-10-31 00:00:00;2023-10-31 00:00:00
53110074;Kilo adicional Zona AM 1;2023-10-31 00:00:00;2023-10-31 00:00:00
53110075;Kilo adicional Zona AM 2;2023-10-31 00:00:00;2023-10-31 00:00:00
53110076;Kilo adicional Zona AS-OC 1;2023-10-31 00:00:00;2023-10-31 00:00:00
53110077;Kilo adicional Zona AS-OC 2;2023-10-31 00:00:00;2023-10-31 00:00:00
53110078;Kilo adicional Zona AF;2023-10-31 00:00:00;2023-10-31 00:00:00
1;Kilogramo adicional;2024-01-19 00:00:00;2024-01-19 00:00:00
2;Pieza adicional;2024-01-19 00:00:00;2024-01-19 00:00:00
3;Turno de tarde;2024-04-19 00:00:00;2024-04-19 00:00:00
4;Porcentaje sobre el importe girado;2024-06-06 00:00:00;2024-06-06 00:00:00
5;Tama̱o no normalizado;2024-08-30 00:00:00;2024-08-30 00:00:00
6;Item;2025-05-26 00:00:00;2025-05-26 00:00:00
