cod_va;cod_va_rest;cod_idioma_alpha2;desc_restriccion;fec_creacion;fec_actualizacion
SOACGPA;CAJPEPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Grande, no se puede seleccionar la Caja Pequeña;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACGPA;CAJMEPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Grande, no se puede seleccionar la Caja Mediana;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACGPA;CAJGRPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Grande, no se puede seleccionar la Caja Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;SOACPPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Pequeño, no se puede seleccionar el Sobre Acolchado Pequeño;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;SOACMPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Pequeño, no se puede seleccionar el Sobre Acolchado Mediano;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;SOACGPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Pequeño, no se puede seleccionar el Sobre Acolchado Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;SOSEMPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Pequeño, no se puede seleccionar el Sobre Semirrígido Mediano;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;SOSEGPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Pequeño, no se puede seleccionar el Sobre Semirrígido Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;CAJPEPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Pequeño, no se puede seleccionar la Caja Pequeña;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;CAJMEPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Pequeño, no se puede seleccionar la Caja Mediana;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;CAJGRPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Pequeño, no se puede seleccionar la Caja Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEMPA;SOACPPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Mediano, no se puede seleccionar el Sobre Acolchado Pequeño;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEMPA;SOACMPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Mediano, no se puede seleccionar el Sobre Acolchado Mediano;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEMPA;SOACGPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Mediano, no se puede seleccionar el Sobre Acolchado Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEMPA;SOSEPPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Mediano, no se puede seleccionar el Sobre Semirrígido Pequeño;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEMPA;SOSEGPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Mediano, no se puede seleccionar el Sobre Semirrígido Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEMPA;CAJPEPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Mediano, no se puede seleccionar la Caja Pequeña;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEMPA;CAJMEPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Mediano, no se puede seleccionar la Caja Mediana;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEMPA;CAJGRPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Mediano, no se puede seleccionar la Caja Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEGPA;SOACPPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Grande, no se puede seleccionar el Sobre Acolchado Pequeño;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEGPA;SOACMPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Grande, no se puede seleccionar el Sobre Acolchado Mediano;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEGPA;SOACGPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Grande, no se puede seleccionar el Sobre Acolchado Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEGPA;SOSEPPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Grande, no se puede seleccionar el Sobre Semirrígido Pequeño;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEGPA;SOSEMPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Grande, no se puede seleccionar el Sobre Semirrígido Mediano;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEGPA;CAJPEPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Grande, no se puede seleccionar la Caja Pequeña;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEGPA;CAJMEPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Grande, no se puede seleccionar la Caja Mediana;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEGPA;CAJGRPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Grande, no se puede seleccionar la Caja Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJPEPA;SOACPPA;es;Sólo se puede seleccionar un embalaje: si se selecciona la Caja Pequeña, no se puede seleccionar el Sobre Acolchado Pequeño;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJPEPA;SOACMPA;es;Sólo se puede seleccionar un embalaje: si se selecciona la Caja Pequeña, no se puede seleccionar el Sobre Acolchado Mediano;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJPEPA;SOACGPA;es;Sólo se puede seleccionar un embalaje: si se selecciona la Caja Pequeña, no se puede seleccionar el Sobre Acolchado Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJPEPA;SOSEPPA;es;Sólo se puede seleccionar un embalaje: si se selecciona la Caja Pequeña, no se puede seleccionar el Sobre Semirrígido Pequeño;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJPEPA;SOSEMPA;es;Sólo se puede seleccionar un embalaje: si se selecciona la Caja Pequeña, no se puede seleccionar el Sobre Semirrígido Mediano;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJPEPA;SOSEGPA;es;Sólo se puede seleccionar un embalaje: si se selecciona la Caja Pequeña, no se puede seleccionar el Sobre Semirrígido Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJPEPA;CAJMEPA;es;Sólo se puede seleccionar un embalaje: si se selecciona la Caja Pequeña, no se puede seleccionar la Caja Mediana;2024-01-12 00:00:00;2024-01-12 00:00:00
