cod_producto_comercial;cod_modalidad;fec_alta;cod_ambito;fec_creacion;fec_actualizacion
PAFXB4;OFUAOF;2023-10-31 00:00:00;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB4;OFUAOF;2023-10-31 00:00:00;2;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB4;OFUAOF;2023-10-31 00:00:00;3;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB4;OFUAOF;2023-10-31 00:00:00;4;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB4;OFUAOF;2023-10-31 00:00:00;5;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXH1;DOUAOF;2023-10-31 00:00:00;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXH1;DOUAOF;2023-10-31 00:00:00;2;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXH1;DOUAOF;2023-10-31 00:00:00;3;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXH1;DOUAOF;2023-10-31 00:00:00;4;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXH1;DOUAOF;2023-10-31 00:00:00;5;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXI1;DOUAOF;2023-10-31 00:00:00;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXI1;DOUAOF;2023-10-31 00:00:00;2;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXI1;DOUAOF;2023-10-31 00:00:00;3;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXI1;DOUAOF;2023-10-31 00:00:00;4;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXI1;DOUAOF;2023-10-31 00:00:00;5;2023-10-31 00:00:00;2023-10-31 00:00:00
PAGXJ1;BUUAOF;2023-10-31 00:00:00;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PAGXJ1;BUUAOF;2023-10-31 00:00:00;2;2023-10-31 00:00:00;2023-10-31 00:00:00
PAGXJ1;BUUAOF;2023-10-31 00:00:00;3;2023-10-31 00:00:00;2023-10-31 00:00:00
