tabla_origen;codigo;nombre_descripción;tabla_referencia
tb_mdp_producto_tam_simple;cod_producto_comercial;desc_producto_perfil;_desc_producto_perfil
tb_mdp_producto_perfil_franqueo;cod_producto_comercial;desc_producto_perfil;_desc_producto_perfil
tb_mdp_producto_rango_temperatura;cod_producto_comercial;desc_producto_perfil;_desc_producto_perfil
tb_mdp_producto_sistema_prefijo;cod_modalidad;nom_modalidad;tb_mdp_modalidad_idioma
tb_mdp_producto_sistema_prefijo;cod_prod_prefijo;desc_prefijo;tb_mdp_prefijo
tb_mdp_producto_sistema_prefijo;cod_producto;nom_producto;tb_mdp_producto
tb_mdp_producto_sistema_prefijo;cod_sistema;nom_sistema;tb_mdp_sistema
tb_mdp_producto_material;cod_producto_comercial;desc_producto_perfil;_desc_producto_perfil
tb_mdp_producto_trazabilidad_temperatura;cod_producto_comercial;desc_producto_perfil;_desc_producto_perfil
tb_mdp_va_franqueo_perfil;cod_va;nom_va;tb_mdp_va_idioma
tb_mdp_va;cod_va;nom_va;tb_mdp_va_idioma
tb_mdp_va_franja_horaria;cod_va;nom_va;tb_mdp_va_idioma
tb_mdp_va_impuesto_gravamen;cod_va;nom_va;tb_mdp_va_idioma
tb_mdp_sistema_canal;cod_sistema;nom_sistema;tb_mdp_sistema
tb_mdp_promocion_codigo;cod_promocional;nom_promocion;tb_mdp_promocion
tb_mdp_zona_tarif_postal;cod_zona_tarif;nom_zona_tarif;tb_mdp_zona_tarifaria
tb_mdp_zona_tarif_provincia;cod_zona_tarif;nom_zona_tarif;tb_mdp_zona_tarifaria
tb_mdp_zona_tramo;cod_zona_tarif;nom_zona_tarif;tb_mdp_zona_tarifaria
tb_mdp_va_restriccion_idioma;cod_va;nom_va;tb_mdp_va_idioma
tb_mdp_va_restriccion_idioma;cod_va_rest;nom_va;tb_mdp_va_idioma
tb_mdp_ambito_perfil_modalidad;cod_modalidad;nom_modalidad;tb_mdp_modalidad_idioma
tb_mdp_ambito_perfil_modalidad;cod_producto_comercial;desc_producto_perfil;_desc_producto_perfil
tb_mdp_producto_familia;cod_producto_comercial;desc_producto_perfil;_desc_producto_perfil
