cod_franja;cod_idioma_alpha2;nom_franja;fec_creacion;fec_actualizacion
1;es;Primera hora de la ma̱ana;2023-10-31 00:00:00;2023-10-31 00:00:00
2;es;Media ma̱ana;2023-10-31 00:00:00;2023-10-31 00:00:00
3;es;Despu̩s de comer;2023-10-31 00:00:00;2023-10-31 00:00:00
4;es;A ̼ltima hora de la tarde;2023-10-31 00:00:00;2023-10-31 00:00:00
5;es;Por la ma̱ana;2025-01-16 00:00:00;2025-01-16 00:00:00
6;es;Por la tarde;2025-01-16 00:00:00;2025-01-16 00:00:00
7;es;Indiferente;2025-01-16 00:00:00;2025-01-16 00:00:00
8;es;De 9 a 11 horas;2025-01-16 00:00:00;2025-01-16 00:00:00
9;es;De 11 a 13 horas;2025-01-16 00:00:00;2025-01-16 00:00:00
10;es;De 13 a 15 horas;2025-01-16 00:00:00;2025-01-16 00:00:00
11;es;De 16 a 18 horas;2025-01-16 00:00:00;2025-01-16 00:00:00
12;es;De 18 a 20 horas;2025-01-16 00:00:00;2025-01-16 00:00:00
